Hindi,English
लोग,People
समय,Time
दिन,Day
रात,Night
सुबह,Morning
साल,Year
महीना,Month
हफ्ता,Week
दुनिया,World
देश,Country
समाज,Society
राज्य,State
जीवन,Life
बच्चा,Child
बच्ची,Child (girl)
मां,Mother
पिता,Father
बहन,Sister
भाई,Brother
दोस्त,Friend
घर,Home
स्कूल,School
बाजार,Market
शहर,City
गांव,Village
पानी,Water
खाना,Food
दूध,Milk
हवा,Air
बारिश,Rain
सूरज,Sun
चाँद,Moon
सितारा,Star
पेड़,Tree
फूल,Flower
पत्ता,Leaf
जानवर,Animal
कुत्ता,Dog
बिल्ली,Cat
पक्षी,Bird
मछली,Fish
किताब,Book
कागज़,Paper
कलम,Pen
कपड़े,Clothes
जूते,Shoes
कुर्सी,Chair
मेज़,Table
दरवाज़ा,Door
खिड़की,Window
कमरा,Room
गाड़ी,Vehicle/Car
सड़क,Road
पुल,Bridge
स्टेशन,Station
हवाईअड्डा,Airport
दुकान,Shop
दफ़्तर,Office
कंपनी,Company
पैसा,Money
काम,Work
नौकरी,Job
समस्या,Problem
समाधान,Solution
स्वास्थ्य,Health
दवा,Medicine
अस्पताल,Hospital
शक्ति,Strength
ऊर्जा,Energy
ज्ञान,Knowledge
सवाल,Question
जवाब,Answer
कहानी,Story
भाषा,Language
व्यक्ति,Person
नाम,Name
चेहरा,Face
आंख,Eye
नाक,Nose
कान,Ear
मुंह,Mouth
हाथ,Hand
पैर,Leg/Foot
दिल,Heart
दिमाग,Mind
सपना,Dream
खुशी,Happiness
दुख,Sadness
प्यार,Love
नफरत,Hate
आशा,Hope
डर,Fear
विश्वास,Trust
शांति,Peace
युद्ध,War
कानून,Law
सरकार,Government
इतिहास,History
भविष्य,Future
प्रकृति,Nature
